necta,subdivision_name,fips_state,fips_county,fips_subdivision
Metropolitan NECTA,Granby town,09,003,32640
Metropolitan NECTA,Hartford city and town,09,003,37070
Metropolitan NECTA,Hartland town,09,003,37140
Metropolitan NECTA,Manchester town,09,003,44700
Metropolitan NECTA,Marlborough town,09,003,45820
Metropolitan NECTA,New Britain city and town,09,003,50440
Metropolitan NECTA,Newington town,09,003,52140
Metropolitan NECTA,Plainville town,09,003,60120
Metropolitan NECTA,Rocky Hill town,09,003,65370
Metropolitan NECTA,Simsbury town,09,003,68940
Metropolitan NECTA,Southington town,09,003,70550
Metropolitan NECTA,South Windsor town,09,003,71390
Metropolitan NECTA,West Hartford town,09,003,82590
Metropolitan NECTA,Wethersfield town,09,003,84900
Metropolitan NECTA,Windsor town,09,003,87000
Metropolitan NECTA,Barkhamsted town,09,005,02760
Metropolitan NECTA,New Hartford town,09,005,51350
Metropolitan NECTA,Plymouth town,09,005,60750
Metropolitan NECTA,Thomaston town,09,005,75730
Metropolitan NECTA,Cromwell town,09,007,18080
Metropolitan NECTA,East Haddam town,09,007,22280
Metropolitan NECTA,East Hampton town,09,007,22490
Metropolitan NECTA,Haddam town,09,007,35230
Metropolitan NECTA,Middletown city and town,09,007,47360
Metropolitan NECTA,Portland town,09,007,61800
Metropolitan NECTA,Colchester town,09,011,15910
Metropolitan NECTA,Andover town,09,013,01080
Metropolitan NECTA,Bolton town,09,013,06260
Metropolitan NECTA,Columbia town,09,013,16400
Metropolitan NECTA,Coventry town,09,013,17800
Metropolitan NECTA,Ellington town,09,013,25360
Metropolitan NECTA,Hebron town,09,013,37910
Metropolitan NECTA,Mansfield town,09,013,44910
Metropolitan NECTA,Stafford town,09,013,72090
Metropolitan NECTA,Tolland town,09,013,76290
Metropolitan NECTA,Union town,09,013,77830
Metropolitan NECTA,Vernon town,09,013,78250
Metropolitan NECTA,Willington town,09,013,85950
Metropolitan NECTA,Ashford town,09,015,01430
Metropolitan NECTA,Chaplin town,09,015,13810
Micropolitan NECTA,Alstead town,33,005,00820
Micropolitan NECTA,Chesterfield town,33,005,12260
Micropolitan NECTA,Gilsum town,33,005,29220
Micropolitan NECTA,Harrisville town,33,005,34420
Micropolitan NECTA,Keene city,33,005,39300
Micropolitan NECTA,Marlborough town,33,005,45460
Micropolitan NECTA,Marlow town,33,005,45700
Micropolitan NECTA,Nelson town,33,005,50580
Micropolitan NECTA,Richmond town,33,005,64420
Micropolitan NECTA,Roxbury town,33,005,65700
Micropolitan NECTA,Stoddard town,33,005,73700
Micropolitan NECTA,Sullivan town,33,005,74900
Micropolitan NECTA,Surry town,33,005,75300
Micropolitan NECTA,Swanzey town,33,005,75700
Micropolitan NECTA,Troy town,33,005,77380
Micropolitan NECTA,Westmoreland town,33,005,82660
Micropolitan NECTA,Winchester town,33,005,85540
